Office of Field Operations - Innovation and Strategy Directorate - Data Analysis and Reporting,,,,,,,,,,,,,,
"OFO Inadmissible Case By Case  April 1, 2025 to April 30, 2025",,,,,,,,,,,,,,
Event Created Datetime,Field Office Name,Citizenship Country Name,Age at Event Creation Time,UAC Indicator (Derived),FMUA Indicator (Derived),Cred Fear Indicator (Derived),Marital Status Name,Gender,Entry Status,Event Reason,Disposition Name,I216 Custody Transfer To (Agency),Custody Date/Time Out (Latest),Event Subject Count
04/01/2025 01:08:11,SEATTLE,CANADA,22,,NO,NO,,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WD IN LIEU OF ER,RETURN TO FOREIGN,04/01/2025 01:55:00,1
04/01/2025 01:18:38,SEATTLE,MYANMAR (BURMA),24,,NO,NO,,M - MALE,LAWFUL PERMANENT RESIDENT,CRIMINAL INDIVIDUAL,DEFERRED INSPECTION-NO SHOW (DEF/NS),,04/01/2025 21:50:00,1
04/01/2025 01:27:47,PRECLEARANCE,INDIA,41,,NO,NO,,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WITHDRAWAL (WD),,,1
04/01/2025 02:08:40,LAREDO,MEXICO,40,,NO,NO,SINGLE,F - FEMALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,EXPEDITED REMOVAL (ER),RETURN TO FOREIGN,04/01/2025 04:50:00,1
04/01/2025 02:10:09,TUCSON,MEXICO,52,,NO,NO,SINGLE,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,EXPEDITED REMOVAL (ER),RETURN TO FOREIGN,04/01/2025 05:56:00,1
04/01/2025 02:21:25,LAREDO,MEXICO,50,,NO,NO,MARRIED,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,EXPEDITED REMOVAL (ER),RETURN TO FOREIGN,04/01/2025 04:53:00,1
04/01/2025 02:37:35,LAREDO,MEXICO,46,,NO,NO,MARRIED,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,EXPEDITED REMOVAL (ER),RETURN TO FOREIGN,04/01/2025 04:37:00,1
04/01/2025 02:37:38,LAREDO,MEXICO,59,,NO,NO,,M - MALE,LAWFUL PERMANENT RESIDENT,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,NOTICE TO APPEAR (NTA),FEDERAL/STATE/LOCAL FACILITY,04/01/2025 16:43:00,1
04/01/2025 03:07:16,CHICAGO,MEXICO,28,,NO,NO,,F - FEMALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,PAROLED-(DA)-ADVANCE PAROLE,,04/01/2025 03:14:00,1
04/01/2025 03:16:31,SAN DIEGO,MEXICO,32,,NO,NO,DIVORCED,F - FEMALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,PAROLED-(DA)-ADVANCE PAROLE,,04/01/2025 04:16:00,1
04/01/2025 03:34:23,SAN DIEGO,MEXICO,31,,NO,NO,SINGLE,F - FEMALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WD IN LIEU OF ER,RETURN TO FOREIGN,04/01/2025 11:24:35,1
04/01/2025 03:44:55,SAN DIEGO,MEXICO,32,,NO,NO,SINGLE,M - MALE,OTHER APPLICANT FOR ADMISSION,IMMIGRATION ADVERSE ACTION,WD IN LIEU OF ER,RETURN TO FOREIGN,04/01/2025 08:13:00,1
04/01/2025 03:51:29,SAN DIEGO,MEXICO,50,,NO,NO,SINGLE,M - MALE,OTHER APPLICANT FOR ADMISSION,IMMIGRATION ADVERSE ACTION,WD IN LIEU OF ER,RETURN TO FOREIGN,04/01/2025 07:00:00,1
04/01/2025 04:08:11,PRECLEARANCE,UNITED KINGDOM,19,,NO,NO,,F - FEMALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,VISA WAIVER PROGRAM (VWP) - REFUSAL,,,1
04/01/2025 04:57:55,PRECLEARANCE,CANADA,43,,NO,NO,SINGLE,F - FEMALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WITHDRAWAL (WD),,,1
04/01/2025 05:00:09,PRECLEARANCE,CANADA,43,,NO,NO,MARRIED,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WITHDRAWAL (WD),,,1
04/01/2025 05:03:41,HOUSTON,INDIA,24,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 05:03:41,HOUSTON,INDIA,25,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 05:03:41,HOUSTON,INDIA,28,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 05:03:41,HOUSTON,INDIA,34,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 05:03:41,HOUSTON,INDIA,52,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 05:16:17,BUFFALO,CANADA,46,,NO,NO,,F - FEMALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,EXPEDITED REMOVAL (ER),RETURN TO FOREIGN,04/01/2025 15:13:00,1
04/01/2025 05:36:21,HOUSTON,PHILIPPINES,26,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 05:36:21,HOUSTON,PHILIPPINES,48,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 05:37:30,PRECLEARANCE,CANADA,63,,NO,NO,SEPARATED,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE CRIMINAL ALIEN,WITHDRAWAL (WD),,,1
04/01/2025 05:40:10,PRECLEARANCE,CANADA,59,,NO,NO,SINGLE,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE CRIMINAL ALIEN,WITHDRAWAL (WD),,,1
04/01/2025 06:29:00,BOSTON,CANADA,39,,NO,NO,SINGLE,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE CRIMINAL ALIEN,WD IN LIEU OF NTA,RETURN TO FOREIGN,04/01/2025 07:45:00,1
04/01/2025 06:34:23,HOUSTON,INDIA,35,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,2
04/01/2025 06:34:23,HOUSTON,INDIA,39,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 06:34:23,HOUSTON,INDIA,50,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 06:38:47,HOUSTON,PHILIPPINES,24,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 06:38:47,HOUSTON,PHILIPPINES,27,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,2
04/01/2025 06:38:47,HOUSTON,PHILIPPINES,29,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 06:38:47,HOUSTON,PHILIPPINES,30,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 06:38:47,HOUSTON,PHILIPPINES,37,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 06:38:47,HOUSTON,PHILIPPINES,48,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 06:38:47,HOUSTON,PHILIPPINES,51,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 06:55:17,PRECLEARANCE,UNITED KINGDOM,28,,NO,NO,MARRIED,M - MALE,OTHER APPLICANT FOR ADMISSION,IMMIGRATION ADVERSE ACTION,VISA WAIVER PROGRAM (VWP) - REFUSAL,,,1
04/01/2025 06:59:42,PRECLEARANCE,IRELAND,56,,NO,NO,,F - FEMALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,VISA WAIVER PROGRAM (VWP) - REFUSAL,,,1
04/01/2025 07:07:56,BALTIMORE,VIETNAM,21,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 07:07:56,BALTIMORE,VIETNAM,24,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 07:07:56,BALTIMORE,VIETNAM,25,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 07:07:56,BALTIMORE,VIETNAM,28,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 07:07:56,BALTIMORE,VIETNAM,29,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,2
04/01/2025 07:07:56,BALTIMORE,VIETNAM,30,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,2
04/01/2025 07:07:56,BALTIMORE,VIETNAM,31,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 07:07:56,BALTIMORE,VIETNAM,32,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,2
04/01/2025 07:07:56,BALTIMORE,VIETNAM,33,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 07:07:56,BALTIMORE,VIETNAM,34,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 07:07:56,BALTIMORE,VIETNAM,35,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 07:07:56,BALTIMORE,VIETNAM,36,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 07:07:56,BALTIMORE,VIETNAM,37,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 07:07:56,BALTIMORE,VIETNAM,38,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 07:07:56,BALTIMORE,VIETNAM,39,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,2
04/01/2025 07:07:56,BALTIMORE,VIETNAM,40,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,2
04/01/2025 07:11:54,SAN DIEGO,MEXICO,59,,NO,NO,,F - FEMALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,PAROLED-(DA)-ADVANCE PAROLE,,04/01/2025 07:44:00,1
04/01/2025 07:26:48,MIAMI,COSTA RICA,30,,NO,NO,SINGLE,F - FEMALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WD IN LIEU OF ER,RETURN TO FOREIGN,04/01/2025 09:16:00,1
04/01/2025 07:30:58,PRECLEARANCE,CANADA,29,,NO,NO,,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WITHDRAWAL (WD),,,1
04/01/2025 07:42:53,BUFFALO,CANADA,55,,NO,NO,MARRIED,F - FEMALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE CRIMINAL ALIEN,WD IN LIEU OF NTA,RETURN TO FOREIGN,04/01/2025 08:28:00,1
04/01/2025 07:50:31,PRECLEARANCE,BAHAMAS,29,,NO,NO,,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WITHDRAWAL (WD),,,1
04/01/2025 07:55:06,LAREDO,MEXICO,21,,NO,NO,SINGLE,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,EXPEDITED REMOVAL (ER),RETURN TO FOREIGN,04/01/2025 11:53:00,1
04/01/2025 07:58:01,MIAMI,CHILE,26,,NO,NO,SINGLE,M - MALE,OTHER APPLICANT FOR ADMISSION,IMMIGRATION ADVERSE ACTION,VISA WAIVER PROGRAM (VWP) - REFUSAL,RETURN TO FOREIGN,04/01/2025 22:08:00,1
04/01/2025 08:01:24,BOSTON,CANADA,68,,NO,NO,WIDOWED,F - FEMALE,OTHER APPLICANT FOR ADMISSION,CRIMINAL INDIVIDUAL,WD IN LIEU OF NTA,RETURN TO FOREIGN,04/01/2025 09:05:00,1
04/01/2025 08:17:57,NEW YORK,HONDURAS,37,,NO,NO,SINGLE,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WD IN LIEU OF ER,RETURN TO FOREIGN,04/02/2025 03:35:00,1
04/01/2025 08:22:25,BOSTON,CANADA,37,,YES,NO,MARRIED,F - FEMALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WD IN LIEU OF ER,RETURN TO FOREIGN,04/01/2025 09:15:00,1
04/01/2025 08:22:25,BOSTON,CANADA,44,,YES,NO,,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WD IN LIEU OF ER,RETURN TO FOREIGN,04/01/2025 09:15:00,1
04/01/2025 08:22:26,BOSTON,CANADA,7,,YES,NO,,F - FEMALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WD IN LIEU OF ER,RETURN TO FOREIGN,04/01/2025 09:15:00,1
04/01/2025 08:22:27,BOSTON,CANADA,4,,YES,NO,,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WD IN LIEU OF ER,RETURN TO FOREIGN,04/01/2025 09:15:00,1
04/01/2025 08:27:59,BUFFALO,SENEGAL,45,,NO,NO,,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WD IN LIEU OF ER,RETURN TO FOREIGN,04/01/2025 08:46:00,1
04/01/2025 08:30:31,PRECLEARANCE,CANADA,51,,YES,NO,,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WITHDRAWAL (WD),,,1
04/01/2025 08:30:32,PRECLEARANCE,CANADA,16,,YES,NO,,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WITHDRAWAL (WD),,,1
04/01/2025 08:37:29,HOUSTON,GUATEMALA,45,,NO,NO,MARRIED,M - MALE,OTHER APPLICANT FOR ADMISSION,IMMIGRATION ADVERSE ACTION,EXPEDITED REMOVAL (ER),RETURN TO FOREIGN,04/01/2025 13:28:00,1
04/01/2025 08:41:55,PRECLEARANCE,CANADA,22,,NO,NO,SINGLE,F - FEMALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WITHDRAWAL (WD),,,1
04/01/2025 08:52:04,SEATTLE,INDIA,23,,NO,NO,,F - FEMALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WD IN LIEU OF ER,RETURN TO FOREIGN,04/01/2025 09:03:00,1
04/01/2025 08:52:30,CHICAGO,MEXICO,43,,NO,NO,MARRIED,M - MALE,OTHER APPLICANT FOR ADMISSION,IMMIGRATION ADVERSE ACTION,EXPEDITED REMOVAL (ER),RETURN TO FOREIGN,04/02/2025 07:43:00,1
04/01/2025 08:55:09,PRECLEARANCE,CANADA,72,,NO,NO,,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WITHDRAWAL (WD),,,1
04/01/2025 08:58:04,PRECLEARANCE,CANADA,55,,NO,NO,MARRIED,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE CRIMINAL ALIEN,WITHDRAWAL (WD),,,1
04/01/2025 09:07:06,BUFFALO,CANADA,45,,NO,NO,MARRIED,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WD IN LIEU OF NTA,RETURN TO FOREIGN,04/01/2025 09:56:00,1
04/01/2025 09:11:57,BUFFALO,CANADA,49,,NO,NO,MARRIED,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE CRIMINAL ALIEN,WD IN LIEU OF NTA,RETURN TO FOREIGN,04/01/2025 10:04:00,1
04/01/2025 09:12:13,NEW YORK,BRAZIL,36,,NO,NO,MARRIED,F - FEMALE,OTHER APPLICANT FOR ADMISSION,IMMIGRATION ADVERSE ACTION,EXPEDITED REMOVAL (ER),RETURN TO FOREIGN,04/01/2025 20:35:00,1
04/01/2025 09:13:38,BUFFALO,ITALY,50,,NO,NO,,M - MALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WD IN LIEU OF ER,RETURN TO FOREIGN,04/01/2025 09:56:00,1
04/01/2025 09:22:17,PRECLEARANCE,CHINA,40,,NO,NO,,F - FEMALE,OTHER APPLICANT FOR ADMISSION,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,WITHDRAWAL (WD),,,1
04/01/2025 09:34:26,SAN JUAN,DOMINICAN REPUBLIC,28,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 09:34:26,SAN JUAN,HONDURAS,59,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,2
04/01/2025 09:34:26,SAN JUAN,SAINT VINCENT AND THE GRENADINES,56,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 09:34:26,SAN JUAN,VENEZUELA,58,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 09:34:26,SAN JUAN,VENEZUELA,63,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 09:42:32,TAMPA,RUSSIA,29,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 09:42:32,TAMPA,RUSSIA,43,,NO,NO,,M - MALE,CREW - WORKING,ADMINISTRATIVE NON-CRIMINAL INDIVIDUAL,CREWMEMBER DETAINED ON BOARD,,,1
04/01/2025 09:42:33,CHICAGO,BRAZIL,18,,NO,NO,,M - MALE,OTHER APPLICANT FOR ADMISSION,IMMIGRATION ADVERSE ACTION,WD IN LIEU OF ER,RETURN TO FOREIGN,04/01/2025 22:36:00,1
